year	prov	sex	ageGrp	pop
2549 	67 	1 	0 	31464
2549 	67 	1 	5 	35215
2549 	67 	1 	10 	37830
2549 	67 	1 	15 	78630
2549 	67 	1 	25 	91375
2549 	67 	1 	35 	86088
2549 	67 	1 	45 	65339
2549 	67 	1 	55 	37362
2549 	67 	1 	65 	35797
2549 	67 	2 	0 	29795
2549 	67 	2 	5 	33479
2549 	67 	2 	10 	35754
2549 	67 	2 	15 	75242
2549 	67 	2 	25 	88096
2549 	67 	2 	35 	87777
2549 	67 	2 	45 	68545
2549 	67 	2 	55 	40322
2549 	67 	2 	65 	44278
2550 	53 	1 	0 	13273
2550 	53 	1 	5 	14825
2550 	53 	1 	10 	16658
2550 	53 	1 	15 	32380
2550 	53 	1 	25 	38552
2550 	53 	1 	35 	40736
2550 	53 	1 	45 	34691
2550 	53 	1 	55 	20003
2550 	53 	1 	65 	19121
2550 	53 	2 	0 	12393
2550 	53 	2 	5 	13930
2550 	53 	2 	10 	15587
2550 	53 	2 	15 	31022
2550 	53 	2 	25 	38017
2550 	53 	2 	35 	42157
2550 	53 	2 	45 	36502
2550 	53 	2 	55 	21847
2550 	53 	2 	65 	24686
2550 	63 	1 	0 	24136
2550 	63 	1 	5 	23947
2550 	63 	1 	10 	24507
2550 	63 	1 	15 	43772
2550 	63 	1 	25 	44279
2550 	63 	1 	35 	42037
2550 	63 	1 	45 	32647
2550 	63 	1 	55 	18401
2550 	63 	1 	65 	16065
2550 	63 	2 	0 	22580
2550 	63 	2 	5 	22226
2550 	63 	2 	10 	22374
2550 	63 	2 	15 	40582
2550 	63 	2 	25 	41364
2550 	63 	2 	35 	40817
2550 	63 	2 	45 	32097
2550 	63 	2 	55 	18636
2550 	63 	2 	65 	18836
2550 	64 	1 	0 	17559
2550 	64 	1 	5 	18975
2550 	64 	1 	10 	22211
2550 	64 	1 	15 	42004
2550 	64 	1 	25 	50712
2550 	64 	1 	35 	53991
2550 	64 	1 	45 	43771
2550 	64 	1 	55 	24460
2550 	64 	1 	65 	22460
2550 	64 	2 	0 	16069
2550 	64 	2 	5 	17511
2550 	64 	2 	10 	20709
2550 	64 	2 	15 	40982
2550 	64 	2 	25 	50364
2550 	64 	2 	35 	56951
2550 	64 	2 	45 	47750
2550 	64 	2 	55 	28566
2550 	64 	2 	65 	32016
2550 	65 	1 	0 	25043
2550 	65 	1 	5 	26565
2550 	65 	1 	10 	30857
2550 	65 	1 	15 	65371
2550 	65 	1 	25 	70701
2550 	65 	1 	35 	73701
2550 	65 	1 	45 	59413
2550 	65 	1 	55 	32735
2550 	65 	1 	65 	30786
2550 	65 	2 	0 	23395
2550 	65 	2 	5 	25248
2550 	65 	2 	10 	29448
2550 	65 	2 	15 	63300
2550 	65 	2 	25 	69965
2550 	65 	2 	35 	77568
2550 	65 	2 	45 	62674
2550 	65 	2 	55 	36471
2550 	65 	2 	65 	39855
2550 	67 	1 	0 	31557
2550 	67 	1 	5 	33641
2550 	67 	1 	10 	37744
2550 	67 	1 	15 	77572
2550 	67 	1 	25 	90279
2550 	67 	1 	35 	86201
2550 	67 	1 	45 	67416
2550 	67 	1 	55 	38191
2550 	67 	1 	65 	35414
2550 	67 	2 	0 	29785
2550 	67 	2 	5 	31891
2550 	67 	2 	10 	35845
2550 	67 	2 	15 	73662
2550 	67 	2 	25 	86547
