distID x y distcode distname provname
140 770292.59 1463909.24 2010 "Bo Thong" "Chonburi"
141 760591.40 1482984.77 2011 "Ko Chan" "Chonburi"
142 737021.02 1408406.57 2101 "Muang Rayong" "Rayong"
143 722260.28 1408919.55 2102 "Ban Chang" "Rayong"
144 789187.23 1415428.64 2103 "Klaeng" "Rayong"
145 774872.83 1438205.68 2104 "Wang Chan" "Rayong"
146 753334.42 1420080.63 2105 "Ban Khai" "Rayong"
147 743117.32 1433641.14 2106 "Pluak Daeng" "Rayong"
148 791104.05 1437072.20 2107 "Khao Chamao" "Rayong"
149 732563.97 1419276.09 2108 "Nikhom Pattana" "Rayong"
150 838917.74 1398124.18 2201 "Muang Chanthaburi" "Chanthaburi"
151 854095.16 1389457.68 2202 "Khlung" "Chanthaburi"
152 823183.29 1411221.69 2203 "Tha Mai" "Chanthaburi"
153 863640.21 1433802.30 2204 "Pong Nam Ron" "Chanthaburi"
154 848943.59 1410292.23 2205 "Makham" "Chanthaburi"
155 836894.79 1379797.12 2206 "Laem Sing" "Chanthaburi"
156 849974.21 1458695.85 2207 "Soydow" "Chanthaburi"
157 811650.66 1447760.25 2208 "Kaeng Hang Maeo" "Chanthaburi"
158 812347.98 1412154.68 2209 "Na Yai Am" "Chanthaburi"
159 836189.53 1432120.25 2210 "Kao Kichakut" "Chanthaburi"
160 890990.92 1354041.66 2301 "Muang Trat" "Trat"
161 920513.66 1308931.57 2302 "Khlong Yai" "Trat"
162 871683.65 1375748.68 2303 "Khao Saming" "Trat"
163 889667.35 1392652.25 2304 "Bo Rai" "Trat"
164 867448.28 1354223.11 2305 "Laem Ngop" "Trat"
165 888765.15 1291919.46 2306 "Ko Kut" "Trat"
166 864581.11 1335042.06 2307 "Ko Chang" "Trat"
167 716167.99 1517368.75 2401 "Muang Chachoengsao" "Chachoengsao"
168 737874.26 1520892.33 2402 "Bang Khla" "Chachoengsao"
169 719704.17 1534137.83 2403 "Bang Nam Prieo" "Chachoengsao"
170 711873.85 1499348.26 2404 "Bang Pakong" "Chachoengsao"
171 725835.50 1506851.78 2405 "Ban Pho" "Chachoengsao"
172 762567.34 1520668.35 2406 "Phanom Sarakham" "Chachoengsao"
173 746499.01 1524038.35 2407 "Ratchasan" "Chachoengsao"
174 787202.38 1506081.86 2408 "Sanam Chaikhet" "Chachoengsao"
175 751616.41 1501043.80 2409 "Plaeng Yao" "Chachoengsao"
176 795167.83 1482870.32 2410 "Tha Ta Kieb" "Chachoengsao"
177 733131.69 1523820.32 2411 "Khlong Khuan" "Chachoengsao"
178 757625.68 1561751.93 2501 "Muang Prachin Buri" "Prachinburi"
179 799720.82 1534948.92 2502 "Kabin Buri" "Prachinburi"
180 810228.62 1572971.02 2503 "Na Di" "Prachinburi"
181 744453.59 1544077.37 2506 "Ban Sang" "Prachinburi"
182 775166.03 1574228.96 2507 "Prachantakham" "Prachinburi"
183 769728.62 1537457.40 2508 "Sri Maha Pho" "Prachinburi"
184 761406.47 1535880.39 2509 "Si Mahosot" "Prachinburi"
185 742285.19 1577616.93 2601 "Muang Nakhon Nayok" "Nakhon Nayok"
186 752991.80 1573006.94 2602 "Pak Phli" "Nakhon Nayok"
187 721504.22 1579060.42 2603 "Ban Na" "Nakhon Nayok"
188 720531.74 1559626.89 2604 "Ongkharak" "Nakhon Nayok"
189 836386.89 1542397.99 2701 "Muang Sa Kaeo" "Srakaeo"
190 851767.80 1492250.92 2702 "Khlong Hat" "Srakaeo"
191 901821.79 1555809.12 2703 "Ta Phraya" "Srakaeo"
192 833322.61 1498536.90 2704 "Wang Nam Yen" "Srakaeo"
193 861977.08 1536565.02 2705 "Watthana Nakhon" "Srakaeo"
194 877160.54 1515113.00 2706 "Aranyaprathet" "Srakaeo"
195 829837.44 1508533.41 2707 "Khao Chakan" "Srakaeo"
196 894969.27 1536261.57 2708 "Kok Sung" "Srakaeo"
197 839187.60 1478998.86 2709 "Wang Sombun" "Srakaeo"
198 831512.15 1656780.67 3001 "Muang Nakhon Ratchasima" "Nakhon Ratchasima"
199 846259.91 1592846.09 3002 "Khon Buri" "Nakhon Ratchasima"
200 879614.50 1591660.14 3003 "Soeng Sang" "Nakhon Ratchasima"
201 827916.32 1706646.72 3004 "Khong" "Nakhon Ratchasima"
202 837283.89 1724801.25 3005 "Ban Luam" "Nakhon Ratchasima"
203 870135.32 1657857.23 3006 "Chakkarat" "Nakhon Ratchasima"
204 845240.79 1633410.65 3007 "Chok Chai" "Nakhon Ratchasima"
205 754517.71 1686416.11 3008 "Dan Khun Thot" "Nakhon Ratchasima"
206 824474.15 1681815.69 3009 "Non Thai" "Nakhon Ratchasima"
207 852194.92 1683898.23 3010 "Non Sung" "Nakhon Ratchasima"
208 840176.30 1702031.23 3011 "Kham Sakae Saeng" "Nakhon Ratchasima"
209 862336.25 1727207.29 3012 "Bua Yai" "Nakhon Ratchasima"
210 898374.42 1724433.35 3013 "Pra Thai" "Nakhon Ratchasima"
211 815773.40 1624252.60 3014 "Pak Thong Chai" "Nakhon Ratchasima"
212 880238.66 1691755.28 3015 "Phimai" "Nakhon Ratchasima"
213 890541.96 1667273.26 3016 "Huai Thalang" "Nakhon Ratchasima"
214 902869.43 1691151.81 3017 "Chum Phuang" "Nakhon Ratchasima"
215 803975.51 1645775.12 3018 "Sung Noen" "Nakhon Ratchasima"
216 814956.98 1663097.14 3019 "Kham Thale So" "Nakhon Ratchasima"
217 778691.58 1649988.09 3020 "Sikhiu" "Nakhon Ratchasima"
218 761958.76 1618348.52 3021 "Pak Chong" "Nakhon Ratchasima"
219 863845.92 1632235.18 3022 "Nong Bunnak" "Nakhon Ratchasima"
220 847509.08 1739713.29 3023 "Kaeng Sanam Nang" "Nakhon Ratchasima"
221 877756.08 1711521.79 3024 "Non Daeng" "Nakhon Ratchasima"
222 807356.67 1602244.56 3025 "Wang Nam Khieo" "Nakhon Ratchasima"
223 769984.47 1692652.14 3026 "The Pha Rak" "Nakhon Ratchasima"
224 917818.43 1711348.36 3027 "Muang Yang" "Nakhon Ratchasima"
225 821167.60 1699673.21 3028 "Phra Thong Kham" "Nakhon Ratchasima"
226 918676.39 1694210.73 3029 "Lam Tha Men Chai" "Nakhon Ratchasima"
227 877140.54 1735163.32 3030 "Bua Lai" "Nakhon Ratchasima"
228 879197.76 1723348.81 3031 "Sida" "Nakhon Ratchasima"
229 854696.61 1658023.19 3032 "Chalermphrakiet" "Nakhon Ratchasima"
230 937482.71 1656944.83 3101 "Muang Buri Ram" "Buri Ram"
231 929194.55 1693519.86 3102 "Khu Muang" "Buri Ram"
232 963718.63 1656513.88 3103 "Krasang" "Buri Ram"
233 907295.78 1619128.22 3104 "Nang Rong" "Buri Ram"
234 881652.13 1629712.71 3105 "Nong Ki" "Buri Ram"
235 920223.14 1585950.69 3106 "Lahan Sai" "Buri Ram"
236 941529.45 1620443.79 3107 "Prakhon Chai" "Buri Ram"
