countryId x y
120 10801988.320 417880.396
121 6951293.168 201944.798
122 -372749.237 1880556.551
123 1281670.275 3838277.585
124 16313850.260 324830.594
125 -5708985.466 1565884.559
126 -1012037.983 2245996.548
127 5337929.076 -2169076.901
128 -9278239.960 2527712.242
129 14910017.080 735330.054
130 2401802.795 5015513.044
131 634862.590 4670746.421
132 8690486.865 4991461.702
133 -639971.470 3399372.439
134 3224784.872 -1927033.547
135 8947814.044 2069570.454
136 1597503.871 -2384438.429
137 15768902.740 -55759.170
138 7677002.078 3038950.085
139 428160.933 5542531.271
140 15329994.820 -2268624.940
141 15385539.840 -4167512.809
142 -8006747.073 1380486.343
143 755926.870 1882349.076
144 816971.877 967831.761
145 -15786195.310 -2035967.943
146 13628611.800 1623761.995
147 784350.559 6754757.663
148 5256720.985 2243178.904
149 6152797.105 3212776.193
150 12675390.010 806823.143
151 -7657608.517 896499.619
152 -7505056.845 976718.570
153 13754853.490 -707012.345
154 -5393190.337 -2503861.532
155 -7055363.674 -983291.976
156 11282006.450 1672025.600
157 1549841.307 5522404.667
158 -684350.919 4229365.855
159 -6177297.914 1951823.935
160 4703233.316 2708660.002
161 5148582.401 -2252712.581
162 2102234.809 4904074.816
163 7577847.876 6184904.408
164 2822489.515 -201614.485
165 -5711170.263 1485219.907
166 1064383.970 4697319.639
167 625138.990 22842.228
168 4160337.573 2558924.041
169 -1348561.611 1548081.348
170 5234313.753 -501528.384
171 -1109369.004 905429.606
172 9805488.398 144231.837
173 1629357.334 5187745.620
174 1255820.208 4924923.516
175 15073713.310 -1026109.831
176 4350437.138 548907.754
177 2156002.636 -3045855.304
178 -259748.904 4263360.038
179 7609758.036 843953.449
180 -5833077.565 1832878.817
181 -5735595.531 1417732.012
182 2831352.440 1423321.354
183 -5285892.157 413405.004
184 2888450.861 -2835514.792
185 1297039.226 6547619.388
186 688153.295 4992392.737
187 3475067.818 3716746.575
188 11162236.200 2522376.939
189 6225206.963 4194814.532
190 3292870.133 -677596.582
191 9484130.838 1691776.858
192 93390.829 931902.167
193 -16191870.550 -2286432.378
194 -5770198.969 1113093.160
195 852125.086 3607964.449
196 3121770.337 4165181.275
197 5164691.828 4174415.061
198 -6679241.430 2333334.651
199 16606580.130 -1337802.050
200 -6027677.162 1899236.899
201 3050307.885 151361.027
202 2592315.641 5168282.919
203 5066812.975 2587410.062
204 -171162.310 5764558.295
205 -8242490.656 3962828.520
206 -5019014.431 -3477145.615
207 5481308.484 4443035.376
208 15602016.730 -1620628.667
209 1086679.302 4455368.877
210 -6276778.938 691496.869
211 10067048.850 1708574.797
212 -1183918.525 2590046.861
213 -16107517.060 -1472421.159
214 4472926.115 1694272.470
215 1765098.250 4698397.097
216 2052424.012 -435146.996
217 2468326.802 -1566365.546
218 2706733.936 -2035105.220
