plotid	x	y	distname	distcode
197	661082.03	1498017.70	Na Klua	110501
198	660732.62	1501042.74	Ban Khlong Suan	110502
199	668529.17	1497853.72	Laem Fa Pha	110503
200	669928.69	1504673.74	Pak Khlong Bang Pla Kot	110504
201	667863.13	1502723.24	Nai Khlong Bang Pla Kot	110505
202	696459.67	1506490.57	Bang Sao Thong	110601
203	694817.00	1513847.78	Srisa Chorakhe Noi	110602
204	694603.53	1507786.26	Srisa Chorakhe Yai	110603
205	661850.26	1530442.27	Suan Yai	120101
206	663236.36	1531810.28	Talat Kwan	120102
207	665230.31	1532056.78	Bang Khen	120103
208	663088.70	1534361.79	Bang Kra So	120104
209	664181.90	1535668.30	Tha Sai	120105
210	660779.95	1528540.77	Bang Phai	120106
211	659933.09	1530808.27	Bang Sri Muang	120107
212	657116.45	1530322.29	Bang Krang	120108
213	659488.80	1534072.28	Sai Ma	120109
214	657740.63	1534055.79	Bang Rak Noi	120110
215	659050.58	1526173.79	Wat Chalo	120201
216	662110.09	1526904.90	Bang Kruai	120202
217	658663.69	1527843.27	Bang Si Thong	120203
218	657156.41	1528112.78	Bang Khanun	120204
219	655234.20	1528650.27	Bang Khun Kong	120205
220	652867.89	1528905.77	Bang Khu Wiang	120206
221	655718.84	1526876.77	Mahasawat	120207
222	651568.91	1528039.28	Plai Bang	120208
223	647267.74	1527653.28	Sala Klang	120209
224	652182.75	1530746.77	Bang Muang	120301
225	650314.94	1533862.28	Bang Mae Nang	120302
226	655082.50	1531848.78	Bang Len	120303
227	650986.68	1534763.78	Sao Thong Hin	120304
228	646409.63	1529845.78	Bang Yai	120305
229	643512.17	1533211.27	Ban Mai	120306
230	653733.02	1538492.28	Sanoe Loi	120401
231	650109.58	1543240.31	Bang Bua Thong	120402
232	654682.79	1535042.29	Bang Rak Yai	120403
233	645987.08	1537832.80	Bang Khu Rat	120404
234	651492.58	1544292.80	Lahan	120405
235	654157.44	1543592.32	Lam Pho	120406
236	649178.83	1540117.80	Phimonrat	120407
237	651906.02	1536768.79	Bang Rak Pattana	120408
238	643767.92	1546173.80	Sai Noi	120501
239	642392.84	1557471.81	Rat Niyom	120502
240	640260.23	1538025.28	Nong Prao Ngai	120503
241	639473.06	1557654.82	Sai Yai	120504
242	639156.50	1548736.31	Khun Sri	120505
243	642285.27	1549980.31	Khlong Khwang	120506
244	641871.87	1541778.81	Thawi Watthana	120507
245	663319.55	1539266.81	Pak Kret	120601
246	664592.11	1536567.86	Bang Talat	120602
247	667108.00	1541266.31	Ban Mai	120603
248	663934.65	1540489.80	Bang Phut	120604
